Date,K,Bisection,Secant,Newton,MP,BSM
0.15,695,0.4312702575683594,0.43131530214108643,0.43131530581038585,98.85,98.84593089148814
0.15,700,0.42834086303710933,0.4283493209536454,0.4283493222255605,95.05,95.04921391711099
0.15,705,0.42577764282226566,0.4258250473023678,0.4258250476949617,91.35,91.34547296958863
0.15,710,0.4237026550292968,0.4236892516853018,0.423689253104625,87.75,87.75131367845859
0.15,715,0.42089531860351564,0.4209002678096302,0.42090026821871457,84.15,84.14950299616277
0.15,720,0.4184541564941406,0.4184594981627381,0.41845950003678206,80.65,80.64945106757307
0.15,725,0.41540270385742184,0.4153746403362395,0.41537464082319486,77.15,77.15294399317997
0.15,730,0.41161890258789063,0.4116674166743722,0.4116674167818232,73.65,73.64481151631503
0.15,735,0.40832333374023433,0.4082722728272561,0.408272273484962,70.25,70.25555973461968
0.15,740,0.4060042297363281,0.4060584572488097,0.4060584573491319,67.05,67.04399614193221
0.15,745,0.40319689331054687,0.4031763841476659,0.4031763841573837,63.85,63.8523047842329
0.15,750,0.39965720825195317,0.3996407030482099,0.399640703101356,60.65,60.65187945049365
0.15,755,0.3972160461425781,0.39719621730748683,0.3971962173080097,57.65,57.65228436352919
0.15,760,0.39404253540039064,0.39407547173597574,0.3940754717279314,54.65,54.64616792805833
0.15,765,0.3919675476074218,0.39198967701288945,0.39198967691786485,51.85,51.847404229782455
0.15,770,0.3891602111816406,0.3892120951782333,0.3892120953488682,49.05,49.04387527754449
0.15,775,0.38696316528320307,0.38701054733522466,0.3870105473317792,46.4,46.39438150222321
0.15,780,0.3850102355957031,0.3849506880796032,0.38495068807757377,43.85,43.85707965794609
0.15,785,0.38256907348632807,0.38260696602753735,0.38260696597326704,41.35,41.34549160288452
0.15,790,0.38000585327148434,0.3799753113256722,0.37997531129409307,38.9,38.90362948560647
0.15,795,0.37744263305664055,0.37747151786668964,0.3774715179162683,36.55,36.54657833500306
0.15,800,0.37512352905273433,0.3750934885314968,0.37509348856392194,34.3,34.303540165951404
0.15,805,0.37243825073242187,0.3724144908528335,0.3724144908618786,32.1,32.102779699962184
0.15,810,0.3698750305175781,0.3698573763168783,0.36985737643905253,30.0,30.002046077014256
0.15,815,0.36657946166992184,0.3665528789024284,0.3665528798893396,27.9,27.903044680660003
0.15,820,0.36340595092773437,0.3633563392344403,0.36335633946838586,25.9,25.905602919655394
0.15,825,0.3570589294433593,0.35711813281194454,0.35711813438405215,23.65,23.64343410750533
0.15,830,0.3568148132324218,0.35684627888439363,0.3568462793219008,22.15,22.146570939220652
0.15,835,0.35449570922851553,0.35446798257533774,0.3544679846417029,20.5,20.502958521001602
0.15,840,0.35132219848632806,0.3512954320026678,0.3512954328717208,18.85,18.85278781510499
0.15,845,0.34875897827148433,0.34875458074599636,0.3487545844696147,17.35,17.350445759325652
0.15,850,0.3499795593261718,0.3499447625403831,0.3499447640517685,16.3,16.30344612929113
0.15,855,0.3437545959472656,0.3437489083151337,0.3437489095006313,14.6,14.600543038902629
0.15,860,0.34131343383789065,0.34132147392406254,0.3413214787523825,13.35,13.349257603884837
0.15,865,0.3386281555175781,0.3386024667491407,0.338602470405564,12.15,12.152282756610077
0.15,870,0.34082520141601563,0.3408242485592613,0.3408242506884254,11.45,11.450082028299505
0.15,875,0.33777374877929683,0.33771514769597616,0.33771515653571305,10.35,10.354841019041459
0.15,880,0.33557670288085933,0.3355636909108677,0.33556369926118434,9.4,9.401027984286998
0.15,885,0.33191495971679685,0.33188172493049545,0.3318817350680552,8.4,8.402494101843729
0.15,890,0.3299620300292968,0.3299603270391085,0.32996033868063074,7.6,7.600120808091546
0.15,895,0.3271546936035156,0.32717200291784587,0.32717201886185426,6.8,6.798829840597364
0.15,900,0.3210517883300781,0.3210176188132359,0.3210176319579767,5.85,5.852142115721335
0.15,905,0.32678851928710934,0.32679965738945976,0.3267996659703206,5.7,5.699317989773888
0.15,910,0.32471353149414056,0.32470912151127856,0.3247091359220053,5.1,5.100252940790995
0.15,915,0.3188547424316405,0.3188808991824492,0.3188809178308507,4.35,4.348616793885498
0.15,920,0.31958709106445304,0.3196104622509374,0.3196104879846748,4.0,3.99882726900978
0.15,925,0.3219061950683593,0.3218733378996768,0.32187336749939693,3.75,3.7515742023034875
0.15,930,0.31934297485351554,0.3193106119031125,0.31931064697687894,3.3,3.3014364588859237
0.15,935,0.3144606506347656,0.3144688856073432,0.31446892311823293,2.8,2.7996664666389677
0.15,940,0.3134841857910156,0.31351062846492705,0.31351065634904735,2.5,2.4990079273585764
0.15,945,0.31177537231445307,0.3117551487048651,0.31175519449145617,2.2,2.2006966612900456
0.15,950,0.3182444519042968,0.31821335356791935,0.3182133854837144,2.2,2.2010585058666265
0.15,960,0.3046960021972656,0.3047387452481523,0.304738813082439,1.425,1.423889986502239
0.15,970,0.2992033874511718,0.29916822961033634,0.29916831241942055,1.025,1.0257269985008968
0.15,975,0.3035974792480468,0.30355116337339344,0.3035512524445087,1.0,1.0009315125341054
0.15,980,0.2954195861816406,0.29539176414794227,0.2953918662236176,0.75,0.7504603083911157
0.15,990,0.29602987670898434,0.2960695804555628,0.2960697092191459,0.6,0.5994420634913276
0.15,1000,0.3164135803222656,0.3164585179215716,0.3164586230281863,0.75,0.7492885738353152
0.15,1010,0.3162915222167968,0.3163182040217549,0.3163183345140352,0.6,0.599642139589422
0.15,1020,0.3261782287597656,0.32621348858384097,0.3262136277469378,0.6,0.599538101724999
